11-28 18:08:29: Training starting...
Episode 170: Reward: 8.00, Epsilon: 0.4244, k: 0.5467, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 171: Reward: 9.00, Epsilon: 0.4223, k: 0.5007, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 172: Reward: 11.00, Epsilon: 0.4201, k: 0.4767, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 173: Reward: 11.00, Epsilon: 0.4180, k: 0.4551, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 174: Reward: 11.00, Epsilon: 0.4159, k: 0.4357, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 175: Reward: 9.00, Epsilon: 0.4139, k: 0.4008, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 176: Reward: 24.00, Epsilon: 0.4118, k: 0.4999, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 177: Reward: 11.00, Epsilon: 0.4097, k: 0.4760, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 178: Reward: 11.00, Epsilon: 0.4077, k: 0.4545, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 179: Reward: 9.00, Epsilon: 0.4057, k: 0.4177, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 180: Reward: 16.00, Epsilon: 0.4036, k: 0.4455, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 181: Reward: 12.00, Epsilon: 0.4016, k: 0.4357, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 182: Reward: 11.00, Epsilon: 0.3996, k: 0.4183, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 183: Reward: 13.00, Epsilon: 0.3976, k: 0.4199, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 184: Reward: 11.00, Epsilon: 0.3956, k: 0.4040, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 185: Reward: 16.00, Epsilon: 0.3936, k: 0.4332, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 186: Reward: 14.00, Epsilon: 0.3917, k: 0.4420, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 187: Reward: 10.00, Epsilon: 0.3897, k: 0.4152, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
