11-28 10:10:29: Training starting...
Episode 206: Reward: 12.00, Epsilon: 0.3543, k: 259.3455, Noise Penalty Scale: 0.1000
Episode 207: Reward: 9.00, Epsilon: 0.3525, k: 260.0000, Noise Penalty Scale: 0.1000
Episode 208: Reward: 10.00, Epsilon: 0.3508, k: 260.7273, Noise Penalty Scale: 0.1000
Episode 209: Reward: 9.00, Epsilon: 0.3490, k: 261.3818, Noise Penalty Scale: 0.1000
Episode 210: Reward: 10.00, Epsilon: 0.3473, k: 262.1091, Noise Penalty Scale: 0.1000
Episode 211: Reward: 10.00, Epsilon: 0.3455, k: 262.8364, Noise Penalty Scale: 0.1000
Episode 212: Reward: 31.00, Epsilon: 0.3438, k: 265.0909, Noise Penalty Scale: 0.1000
Episode 213: Reward: 13.00, Epsilon: 0.3421, k: 266.0364, Noise Penalty Scale: 0.1000
Episode 214: Reward: 13.00, Epsilon: 0.3404, k: 266.9818, Noise Penalty Scale: 0.1000
Episode 215: Reward: 12.00, Epsilon: 0.3387, k: 267.8545, Noise Penalty Scale: 0.1000
Episode 216: Reward: 11.00, Epsilon: 0.3370, k: 268.6545, Noise Penalty Scale: 0.1000
Episode 217: Reward: 11.00, Epsilon: 0.3353, k: 269.4545, Noise Penalty Scale: 0.1000
Episode 218: Reward: 15.00, Epsilon: 0.3336, k: 270.5455, Noise Penalty Scale: 0.1000
Episode 219: Reward: 10.00, Epsilon: 0.3320, k: 271.2727, Noise Penalty Scale: 0.1000
Episode 220: Reward: 13.00, Epsilon: 0.3303, k: 272.2182, Noise Penalty Scale: 0.1000
Episode 221: Reward: 11.00, Epsilon: 0.3286, k: 273.0182, Noise Penalty Scale: 0.1000
Episode 222: Reward: 12.00, Epsilon: 0.3270, k: 273.8909, Noise Penalty Scale: 0.1000
Episode 223: Reward: 9.00, Epsilon: 0.3254, k: 274.5455, Noise Penalty Scale: 0.1000
Episode 224: Reward: 11.00, Epsilon: 0.3237, k: 275.3455, Noise Penalty Scale: 0.1000
Episode 225: Reward: 13.00, Epsilon: 0.3221, k: 276.2909, Noise Penalty Scale: 0.1000
Episode 226: Reward: 10.00, Epsilon: 0.3205, k: 277.0182, Noise Penalty Scale: 0.1000
Episode 227: Reward: 9.00, Epsilon: 0.3189, k: 277.6727, Noise Penalty Scale: 0.1000
Episode 228: Reward: 8.00, Epsilon: 0.3173, k: 278.2545, Noise Penalty Scale: 0.1000
Episode 229: Reward: 10.00, Epsilon: 0.3157, k: 278.9818, Noise Penalty Scale: 0.1000
Episode 230: Reward: 12.00, Epsilon: 0.3141, k: 279.8545, Noise Penalty Scale: 0.1000
Episode 231: Reward: 11.00, Epsilon: 0.3126, k: 280.6545, Noise Penalty Scale: 0.1000
Episode 232: Reward: 10.00, Epsilon: 0.3110, k: 281.3818, Noise Penalty Scale: 0.1000
Episode 233: Reward: 10.00, Epsilon: 0.3095, k: 282.1091, Noise Penalty Scale: 0.1000
Episode 234: Reward: 11.00, Epsilon: 0.3079, k: 282.9091, Noise Penalty Scale: 0.1000
Episode 235: Reward: 10.00, Epsilon: 0.3064, k: 283.6364, Noise Penalty Scale: 0.1000
Episode 236: Reward: 10.00, Epsilon: 0.3048, k: 284.3636, Noise Penalty Scale: 0.1000
Episode 237: Reward: 20.00, Epsilon: 0.3033, k: 285.8182, Noise Penalty Scale: 0.1000
Episode 238: Reward: 12.00, Epsilon: 0.3018, k: 286.6909, Noise Penalty Scale: 0.1000
Episode 239: Reward: 10.00, Epsilon: 0.3003, k: 287.4182, Noise Penalty Scale: 0.1000
Episode 240: Reward: 13.00, Epsilon: 0.2988, k: 288.3636, Noise Penalty Scale: 0.1000
Episode 241: Reward: 10.00, Epsilon: 0.2973, k: 289.0909, Noise Penalty Scale: 0.1000
Episode 242: Reward: 10.00, Epsilon: 0.2958, k: 289.8182, Noise Penalty Scale: 0.1000
Episode 243: Reward: 13.00, Epsilon: 0.2943, k: 290.7636, Noise Penalty Scale: 0.1000
Episode 244: Reward: 15.00, Epsilon: 0.2929, k: 291.8545, Noise Penalty Scale: 0.1000
Episode 245: Reward: 9.00, Epsilon: 0.2914, k: 292.5091, Noise Penalty Scale: 0.1000
Episode 246: Reward: 10.00, Epsilon: 0.2899, k: 293.2364, Noise Penalty Scale: 0.1000
Episode 247: Reward: 10.00, Epsilon: 0.2885, k: 293.9636, Noise Penalty Scale: 0.1000
Episode 248: Reward: 13.00, Epsilon: 0.2870, k: 294.9091, Noise Penalty Scale: 0.1000
Episode 249: Reward: 10.00, Epsilon: 0.2856, k: 295.6364, Noise Penalty Scale: 0.1000
Episode 250: Reward: 13.00, Epsilon: 0.2842, k: 296.5818, Noise Penalty Scale: 0.1000
Episode 251: Reward: 12.00, Epsilon: 0.2828, k: 297.4545, Noise Penalty Scale: 0.1000
Episode 252: Reward: 10.00, Epsilon: 0.2813, k: 298.1818, Noise Penalty Scale: 0.1000
Episode 253: Reward: 8.00, Epsilon: 0.2799, k: 298.7636, Noise Penalty Scale: 0.1000
Episode 254: Reward: 10.00, Epsilon: 0.2785, k: 299.4909, Noise Penalty Scale: 0.1000
Episode 255: Reward: 10.00, Epsilon: 0.2771, k: 300.2182, Noise Penalty Scale: 0.1000
Episode 256: Reward: 11.00, Epsilon: 0.2758, k: 301.0182, Noise Penalty Scale: 0.1000
Episode 257: Reward: 8.00, Epsilon: 0.2744, k: 301.6000, Noise Penalty Scale: 0.1000
Episode 258: Reward: 13.00, Epsilon: 0.2730, k: 302.5455, Noise Penalty Scale: 0.1000
Episode 259: Reward: 18.00, Epsilon: 0.2716, k: 303.8545, Noise Penalty Scale: 0.1000
Episode 260: Reward: 10.00, Epsilon: 0.2703, k: 304.5818, Noise Penalty Scale: 0.1000
