11-28 14:24:57: Training starting...
Episode 154: Reward: 10.00, Epsilon: 0.4598, k: 217.5333, Noise Penalty Scale: 0.1000
Episode 155: Reward: 10.00, Epsilon: 0.4575, k: 218.2000, Noise Penalty Scale: 0.1000
Episode 156: Reward: 13.00, Epsilon: 0.4552, k: 219.0667, Noise Penalty Scale: 0.1000
Episode 157: Reward: 13.00, Epsilon: 0.4529, k: 219.9333, Noise Penalty Scale: 0.1000
Episode 158: Reward: 12.00, Epsilon: 0.4507, k: 220.7333, Noise Penalty Scale: 0.1000
Episode 159: Reward: 10.00, Epsilon: 0.4484, k: 221.4000, Noise Penalty Scale: 0.1000
Episode 160: Reward: 9.00, Epsilon: 0.4462, k: 222.0000, Noise Penalty Scale: 0.1000
Episode 161: Reward: 11.00, Epsilon: 0.4440, k: 222.7333, Noise Penalty Scale: 0.1000
Episode 162: Reward: 11.00, Epsilon: 0.4417, k: 223.4667, Noise Penalty Scale: 0.1000
Episode 163: Reward: 14.00, Epsilon: 0.4395, k: 224.4000, Noise Penalty Scale: 0.1000
Episode 164: Reward: 25.00, Epsilon: 0.4373, k: 226.0667, Noise Penalty Scale: 0.1000
Episode 165: Reward: 10.00, Epsilon: 0.4351, k: 226.7333, Noise Penalty Scale: 0.1000
Episode 166: Reward: 12.00, Epsilon: 0.4330, k: 227.5333, Noise Penalty Scale: 0.1000
Episode 167: Reward: 16.00, Epsilon: 0.4308, k: 228.6000, Noise Penalty Scale: 0.1000
Episode 168: Reward: 11.00, Epsilon: 0.4286, k: 229.3333, Noise Penalty Scale: 0.1000
Episode 169: Reward: 12.00, Epsilon: 0.4265, k: 230.1333, Noise Penalty Scale: 0.1000
Episode 170: Reward: 21.00, Epsilon: 0.4244, k: 231.5333, Noise Penalty Scale: 0.1000
Episode 171: Reward: 11.00, Epsilon: 0.4223, k: 232.2667, Noise Penalty Scale: 0.1000
Episode 172: Reward: 12.00, Epsilon: 0.4201, k: 233.0667, Noise Penalty Scale: 0.1000
Episode 173: Reward: 16.00, Epsilon: 0.4180, k: 234.1333, Noise Penalty Scale: 0.1000
Episode 174: Reward: 12.00, Epsilon: 0.4159, k: 234.9333, Noise Penalty Scale: 0.1000
Episode 175: Reward: 12.00, Epsilon: 0.4139, k: 235.7333, Noise Penalty Scale: 0.1000
Episode 176: Reward: 13.00, Epsilon: 0.4118, k: 236.6000, Noise Penalty Scale: 0.1000
Episode 177: Reward: 26.00, Epsilon: 0.4097, k: 238.3333, Noise Penalty Scale: 0.1000
Episode 178: Reward: 15.00, Epsilon: 0.4077, k: 239.3333, Noise Penalty Scale: 0.1000
Episode 179: Reward: 22.00, Epsilon: 0.4057, k: 240.8000, Noise Penalty Scale: 0.1000
Episode 180: Reward: 16.00, Epsilon: 0.4036, k: 241.8667, Noise Penalty Scale: 0.1000
Episode 181: Reward: 12.00, Epsilon: 0.4016, k: 242.6667, Noise Penalty Scale: 0.1000
