11-28 01:17:15: Training starting...
Episode 142: Reward: 13.00, Epsilon: 0.4883, k: 0.5455, Noise Penalty Scale: 0.1000
Episode 143: Reward: 26.00, Epsilon: 0.4859, k: 1.9636, Noise Penalty Scale: 0.1000
Episode 144: Reward: 50.00, Epsilon: 0.4834, k: 4.5818, Noise Penalty Scale: 0.1000
Episode 145: Reward: 31.00, Epsilon: 0.4810, k: 2.5091, Noise Penalty Scale: 0.1000
Episode 146: Reward: 10.00, Epsilon: 0.4786, k: 0.2182, Noise Penalty Scale: 0.1000
Episode 147: Reward: 13.00, Epsilon: 0.4762, k: 0.5455, Noise Penalty Scale: 0.1000
Episode 148: Reward: 58.00, Epsilon: 0.4738, k: 5.4545, Noise Penalty Scale: 0.1000
Episode 149: Reward: 44.00, Epsilon: 0.4715, k: 3.9273, Noise Penalty Scale: 0.1000
Episode 150: Reward: 21.00, Epsilon: 0.4691, k: 1.4182, Noise Penalty Scale: 0.1000
Episode 151: Reward: 29.00, Epsilon: 0.4668, k: 2.2909, Noise Penalty Scale: 0.1000
Episode 152: Reward: 20.00, Epsilon: 0.4644, k: 1.3091, Noise Penalty Scale: 0.1000
Episode 153: Reward: 45.00, Epsilon: 0.4621, k: 4.0364, Noise Penalty Scale: 0.1000
Episode 154: Reward: 17.00, Epsilon: 0.4598, k: 0.9818, Noise Penalty Scale: 0.1000
Episode 155: Reward: 37.00, Epsilon: 0.4575, k: 3.1636, Noise Penalty Scale: 0.1000
Episode 156: Reward: 11.00, Epsilon: 0.4552, k: 0.3273, Noise Penalty Scale: 0.1000
Episode 157: Reward: 17.00, Epsilon: 0.4529, k: 0.9818, Noise Penalty Scale: 0.1000
Episode 158: Reward: 17.00, Epsilon: 0.4507, k: 0.9818, Noise Penalty Scale: 0.1000
Episode 159: Reward: 22.00, Epsilon: 0.4484, k: 1.5273, Noise Penalty Scale: 0.1000
Episode 160: Reward: 14.00, Epsilon: 0.4462, k: 0.6545, Noise Penalty Scale: 0.1000
Episode 161: Reward: 20.00, Epsilon: 0.4440, k: 1.3091, Noise Penalty Scale: 0.1000
Episode 162: Reward: 12.00, Epsilon: 0.4417, k: 0.4364, Noise Penalty Scale: 0.1000
Episode 163: Reward: 23.00, Epsilon: 0.4395, k: 1.6364, Noise Penalty Scale: 0.1000
Episode 164: Reward: 32.00, Epsilon: 0.4373, k: 2.6182, Noise Penalty Scale: 0.1000
Episode 165: Reward: 10.00, Epsilon: 0.4351, k: 0.2182, Noise Penalty Scale: 0.1000
Episode 166: Reward: 22.00, Epsilon: 0.4330, k: 1.5273, Noise Penalty Scale: 0.1000
Episode 167: Reward: 10.00, Epsilon: 0.4308, k: 0.2182, Noise Penalty Scale: 0.1000
Episode 168: Reward: 17.00, Epsilon: 0.4286, k: 0.9818, Noise Penalty Scale: 0.1000
Episode 169: Reward: 15.00, Epsilon: 0.4265, k: 0.7636, Noise Penalty Scale: 0.1000
Episode 170: Reward: 12.00, Epsilon: 0.4244, k: 0.4364, Noise Penalty Scale: 0.1000
Episode 171: Reward: 35.00, Epsilon: 0.4223, k: 2.9455, Noise Penalty Scale: 0.1000
Episode 172: Reward: 48.00, Epsilon: 0.4201, k: 4.3636, Noise Penalty Scale: 0.1000
Episode 173: Reward: 18.00, Epsilon: 0.4180, k: 1.0909, Noise Penalty Scale: 0.1000
Episode 174: Reward: 28.00, Epsilon: 0.4159, k: 2.1818, Noise Penalty Scale: 0.1000
Episode 175: Reward: 28.00, Epsilon: 0.4139, k: 2.1818, Noise Penalty Scale: 0.1000
Episode 176: Reward: 29.00, Epsilon: 0.4118, k: 2.2909, Noise Penalty Scale: 0.1000
Episode 177: Reward: 15.00, Epsilon: 0.4097, k: 0.7636, Noise Penalty Scale: 0.1000
Episode 178: Reward: 11.00, Epsilon: 0.4077, k: 0.3273, Noise Penalty Scale: 0.1000
Episode 179: Reward: 13.00, Epsilon: 0.4057, k: 0.5455, Noise Penalty Scale: 0.1000
Episode 180: Reward: 21.00, Epsilon: 0.4036, k: 1.4182, Noise Penalty Scale: 0.1000
Episode 181: Reward: 28.00, Epsilon: 0.4016, k: 2.1818, Noise Penalty Scale: 0.1000
Episode 182: Reward: 14.00, Epsilon: 0.3996, k: 0.6545, Noise Penalty Scale: 0.1000
Episode 183: Reward: 22.00, Epsilon: 0.3976, k: 1.5273, Noise Penalty Scale: 0.1000
Episode 184: Reward: 19.00, Epsilon: 0.3956, k: 1.2000, Noise Penalty Scale: 0.1000
Episode 185: Reward: 30.00, Epsilon: 0.3936, k: 2.4000, Noise Penalty Scale: 0.1000
Episode 186: Reward: 24.00, Epsilon: 0.3917, k: 1.7455, Noise Penalty Scale: 0.1000
Episode 187: Reward: 17.00, Epsilon: 0.3897, k: 0.9818, Noise Penalty Scale: 0.1000
Episode 188: Reward: 14.00, Epsilon: 0.3878, k: 0.6545, Noise Penalty Scale: 0.1000
Episode 189: Reward: 34.00, Epsilon: 0.3858, k: 2.8364, Noise Penalty Scale: 0.1000
Episode 190: Reward: 26.00, Epsilon: 0.3839, k: 1.9636, Noise Penalty Scale: 0.1000
Episode 191: Reward: 10.00, Epsilon: 0.3820, k: 0.2182, Noise Penalty Scale: 0.1000
Episode 192: Reward: 9.00, Epsilon: 0.3801, k: 0.1091, Noise Penalty Scale: 0.1000
Episode 193: Reward: 24.00, Epsilon: 0.3782, k: 1.7455, Noise Penalty Scale: 0.1000
Episode 194: Reward: 17.00, Epsilon: 0.3763, k: 0.9818, Noise Penalty Scale: 0.1000
Episode 195: Reward: 46.00, Epsilon: 0.3744, k: 4.1455, Noise Penalty Scale: 0.1000
Episode 196: Reward: 43.00, Epsilon: 0.3725, k: 3.8182, Noise Penalty Scale: 0.1000
Episode 197: Reward: 30.00, Epsilon: 0.3707, k: 2.4000, Noise Penalty Scale: 0.1000
Episode 198: Reward: 37.00, Epsilon: 0.3688, k: 3.1636, Noise Penalty Scale: 0.1000
Episode 199: Reward: 9.00, Epsilon: 0.3670, k: 0.1091, Noise Penalty Scale: 0.1000
Episode 200: Reward: 15.00, Epsilon: 0.3651, k: 0.7636, Noise Penalty Scale: 0.1000
Episode 201: Reward: 23.00, Epsilon: 0.3633, k: 1.6364, Noise Penalty Scale: 0.1000
Episode 202: Reward: 25.00, Epsilon: 0.3615, k: 1.8545, Noise Penalty Scale: 0.1000
Episode 203: Reward: 33.00, Epsilon: 0.3597, k: 2.7273, Noise Penalty Scale: 0.1000
Episode 204: Reward: 65.00, Epsilon: 0.3579, k: 6.0000, Noise Penalty Scale: 0.1000
Episode 205: Reward: 22.00, Epsilon: 0.3561, k: 1.4737, Noise Penalty Scale: 0.1000
Episode 206: Reward: 31.00, Epsilon: 0.3543, k: 2.4211, Noise Penalty Scale: 0.1000
Episode 207: Reward: 20.00, Epsilon: 0.3525, k: 1.2632, Noise Penalty Scale: 0.1000
Episode 208: Reward: 15.00, Epsilon: 0.3508, k: 0.7368, Noise Penalty Scale: 0.1000
Episode 209: Reward: 16.00, Epsilon: 0.3490, k: 0.8421, Noise Penalty Scale: 0.1000
Episode 210: Reward: 12.00, Epsilon: 0.3473, k: 0.4211, Noise Penalty Scale: 0.1000
Episode 211: Reward: 48.00, Epsilon: 0.3455, k: 4.2105, Noise Penalty Scale: 0.1000
Episode 212: Reward: 28.00, Epsilon: 0.3438, k: 2.1053, Noise Penalty Scale: 0.1000
Episode 213: Reward: 71.00, Epsilon: 0.3421, k: 6.0000, Noise Penalty Scale: 0.1000
Episode 214: Reward: 15.00, Epsilon: 0.3404, k: 0.6667, Noise Penalty Scale: 0.1000
Episode 215: Reward: 24.00, Epsilon: 0.3387, k: 1.5238, Noise Penalty Scale: 0.1000
Episode 216: Reward: 26.00, Epsilon: 0.3370, k: 1.7143, Noise Penalty Scale: 0.1000
Episode 217: Reward: 35.00, Epsilon: 0.3353, k: 2.5714, Noise Penalty Scale: 0.1000
Episode 218: Reward: 14.00, Epsilon: 0.3336, k: 0.5714, Noise Penalty Scale: 0.1000
Episode 219: Reward: 20.00, Epsilon: 0.3320, k: 1.1429, Noise Penalty Scale: 0.1000
